Donor,Location Name,FID of the park,Zone,Location latitude,Location longitude,Unique ID of the Percolation well,Percolation well latitude,Percolation well longitude,,,,,,,,
Mphasis,Ugrappa- swabhimana park,15,Bommanahalli zone,,,Pw-38,12.91074,77.64055,,,,,,,,
Mphasis,Ugrappa Park/Swabimana park,15,Bommanahalli zone,,,PW-43,12.910522,77.640396,,,,,,,,
Mphasis,Ugrappa- swabhimana park,15,Bommanahalli zone,,,R-31,12.911536,77.640151,,,,,,,,
Mphasis,Ugrappa Park/Swabimana park,15,Bommanahalli zone,,,PW-46,12.910677,77.641292,,,,,,,,
Mphasis,Ugrappa- swabhimana park,15,Bommanahalli zone,,,Pw-26,12.911172,77.640062,,,,,,,,
Mphasis,Ugrappa- swabhimana park,15,Bommanahalli zone,,,Pw-58,12.910448,77.641378,,,,,,,,
Mphasis,Ugrappa- swabhimana park,15,Bommanahalli zone,,,Pw-31,12.911248,77.640843,,,,,,,,
Mphasis,Ugrappa- swabhimana park,15,Bommanahalli zone,,,PW-31,12.911446,77.641019,,,,,,,,
Mphasis,Ugrappa- swabhimana park,15,Bommanahalli zone,,,PW-23,12.91133,77.639759,,,,,,,,
Mphasis,Lawrence school park,4,Bommanahalli zone,,,PW-147,12.913425,77.634173,,,,,,,,
Mphasis,Lawrence school park,4,Bommanahalli zone,,,PW-146,12.913544,77.633988,,,,,,,,
Mphasis,Lawrence school park,4,Bommanahalli zone,,,PW-158,12.913487,77.633868,,,,,,,,
Mphasis,Lawrence school park,4,Bommanahalli zone,,,PW-148,12.913963,77.634071,,,,,,,,
Mphasis,Lawrence school park,4,Bommanahalli zone,,,PW-158,12.913505,77.633716,,,,,,,,
Mphasis,Lawrence school park,4,Bommanahalli zone,,,TW-157,12.913475,77.63374,,,,,,,,
Mphasis,Lawrence school park,4,Bommanahalli zone,,,R-27,12.913467,77.633793,,,,,,,,
Mphasis,Lawrence school park,4,Bommanahalli zone,,,Pw-154,12.9136,77.633552,,,,,,,,
Mphasis,Lawrence school park,4,Bommanahalli zone,,,Pw-154,12.913566,77.633642,,,,,,,,
Mphasis,Lawrence school park,4,Bommanahalli zone,,,PW-155,12.91362,77.63339,,,,,,,,
Mphasis,Lawrence school park,4,Bommanahalli zone,,,PW-155,12.913675,77.633474,,,,,,,,
Swiss Re Foundation,"14th B Cross Road,Sector 6 Next to Children Amusement Park",18,Bommanahalli zone,,,S-11,12.914549,77.63466,,,,,,,,
Mphasis,Vinayaka Temple Park 2,M110,South zone,,,M-85,12.91268,77.613718,,,,,,,,
Mphasis,Vinayaka Temple Park 1,M109,South zone,,,R-18,12.913139,77.61371,,,,,,,,
Mphasis,Vinayaka Temple Park 1,M109,South zone,,,R-19,12.913234,77.613764,,,,,,,,
Mphasis,Vinayaka Temple Park 1,M109,South zone,,,R-20,12.913287,77.613606,,,,,,,,
Mphasis,Vinayaka park 1,M-109,South Zone,,,R-17,12.912942,77.613624,,,,,,,,
Mphasis,Vinayaka park 1,M-109,South Zone,,,R-17,12.912863,77.613566,,,,,,,,
Mphasis,Vinayaka Temple Park 1,M109,South zone,,,M-90,12.913583,77.613697,,,,,,,,
Mphasis,Vinayaka Temple Park 1,M109,South zone,,,R-17,12.912919,77.61356,,,,,,,,
Mphasis,Mico Layout Park (N S Palya Park ),M105,South zone,,,M-52,12.911255,77.604439,,,,,,,,
Mphasis,Mico Layout Park (N S Palya Park ),M105,South Zone,,,M-48,12.911401,77.605095,,,,,,,,
Mphasis,Mico Layout Park (N S Palya Park ),M105,South zone,,,M-47,12.911476,77.604862,,,,,,,,
Mphasis,Mico Layout Park (N S Palya Park ),M105,South zone,,,M-48,12.911278,77.605113,,,,,,,,
Mphasis,Mico Layout Park (N S Palya Park ),M105,South zone,,,M-51,12.911088,77.60497,,,,,,,,
Mphasis,Mico Layout Park (N S Palya Park ),M105,South zone,,,M-46,12.911463,77.604509,,,,,,,,
Mphasis,Mico Layout Park (N S Palya Park ),M105,South zone,,,M-49,12.91118,77.605104,,,,,,,,
MPhasis,Mico Layout Park (N S Palya Park ),M105,South zone,,,R-22,12.9111,77.604949,,,,,,,,
Mphasis,Mico Layout Park (N S Palya Park ),M105,South zone,,,M-53,12.911233,77.60435,,,,,,,,
Mphasis,Ayyappa temple park,28,Bommanahalli Zone,,,PW-532,12.891778,77.607827,,,,,,,,
Mphasis,Ayyappa temple park,28,Bommanahalli zone,,,PW-534,12.8917,77.608121,,,,,,,,
Mphasis,Ayyappa Temple Park,28,Bommanahalli zone,,,PW-533,12.891915,77.607797,,,,,,,,
Mphasis,Ayyappa temple park,28,Bommanahalli zone,,,PW-535,12.892147,77.608472,,,,,,,,
Mphasis,Ayyappa temple park,28,Bommanahalli zone,,,PW-536,12.89188,77.608572,,,,,,,,
Mphasis,Ayyappa Temple Park,28,Bommanahalli zone,,,PW-533,12.892116,77.607008,,,,,,,,
Mphasis,Ayyappa temple park,28,Bommanahalli zone,,,PW-538,12.892017,77.608752,,,,,,,,
Mphasis,Ayyappa temple park,28,Bommanahalli zone,,,PW-539,12.892007,77.608987,,,,,,,,
Mphasis,Ayyappa temple park,28,Bommanahalli zone,,,PW-540,12.892208,77.608722,,,,,,,,
Mphasis,Ayyappa temple park,28,Bommanahalli zone,,,PW-541,12.892284,77.609079,,,,,,,,
