SL No,Donor Name,Location Name,Latitude ,Longitude,Google location,No of Percolation well Constructed,Year of Completion,Zone,Ward Number,Location by Parks/Campuses
196,PWC,Shivramkaranth Park,13.10003046,77.57354542,https://maps.app.goo.gl/3F36owxXQfKU9HB78,1,Mar-24,Yelahanka Zone,,BBMP Park
197,PWC,Duo Marvel layout Park,13.11757675,77.56904176,https://maps.app.goo.gl/heXme9yShTExfKtF8,5,Mar-24,Yelahanka Zone,,BBMP Park
198,PWC,Sangolli Rayanna Park,13.10484405,77.57641478,https://maps.app.goo.gl/VJhn3iWU1N3k261U9,4,Mar-24,Yelahanka Zone,,BBMP Park
199,PWC,Hoodi Government School,12.99521536,77.71826363,https://maps.app.goo.gl/2U6tAabDwf2HTyKn7,4,Mar-24,Yelahanka Zone,,BWSSB Dept
200,Informatica,Geleyara Balaga Park -1,13.07105214,77.50896464,https://maps.app.goo.gl/W4Dn284VkfUvLvyC6,5,Mar-24,Dasarahalli Zone,,BBMP Park
201,Informatica,Geleyara Balaga Park -2,13.07019368,77.50911361,https://maps.app.goo.gl/UkxAfkqLazJWPdGx6,3,Mar-24,Dasarahalli Zone,,BBMP Park
202,Informatica,HMT Layout 4th Block Park,13.03828874,77.50117212,https://maps.app.goo.gl/uwmk6JQ8vpSzt8Cr8,6,Mar-24,Dasarahalli Zone,,BBMP Park
203,Informatica,K R S Gowda Park,13.03604364,77.50288776,https://maps.app.goo.gl/PPBDZn2jdyt8HRfg7,10,Mar-24,Dasarahalli Zone,,BBMP Park
204,Informatica,Rukmininagar Park,13.04017965,77.50288984,https://maps.app.goo.gl/fgaDHhbwBQYAyu8m8,2,Mar-24,Dasarahalli Zone,,BBMP Park
205,Informatica,Airforce Road Park,13.06048593,77.51641775,https://maps.app.goo.gl/URn3DAJD5qqsiWmt7,10,Mar-24,Dasarahalli Zone,,BBMP Park
206,Informatica,MEI Layout Park (Ganesh temple side),13.06010224,77.50659721,https://maps.app.goo.gl/4HXoSEqSqFmaYMh56,1,Mar-24,Dasarahalli Zone,,BBMP Park
207,Informatica,HMT Layout 1st Block Park(Pipeline Park),13.04031904,77.50271846,https://maps.app.goo.gl/qkDrgbRHc1sywK6e7,9,Mar-24,Dasarahalli Zone,,BBMP Park
208,Informatica,GKW Park (Rajgopalnagar),13.00971139,77.51355834,https://maps.app.goo.gl/sEWoWkctqLoxirdK6,13,Mar-24,Dasarahalli Zone,,BBMP Park
209,Informatica,Kodigehalli Anganavadi,13.00521456,77.72746202,https://maps.app.goo.gl/zFLdyyQnsDMRnwzp9,3,Mar-24,Dasarahalli Zone,,Schools and Colleges
210,Informatica,Sadara Mangala,13.00047985,77.7382393,https://maps.app.goo.gl/3aic4GzHGw8cbDKa7,2,Mar-24,Dasarahalli Zone,,BWSSB Dept
211,Informatica,Sadaramangala Hosaroad,12.9997259,77.73440146,https://maps.app.goo.gl/R46w3Gzbzs2Zsshg9,4,Mar-24,Dasarahalli Zone,,BWSSB Dept
212,Informatica,Sadaramangala STP,12.99829176,77.72168422,https://maps.app.goo.gl/fM2jqetm6AP2KdWW6,4,Mar-24,Dasarahalli Zone,,BWSSB Dept
213,Informatica,Ambedkar Nagar,12.98060271,77.75509679,https://maps.app.goo.gl/A1gZT1cbr1hqYyhx9,4,Mar-24,Dasarahalli Zone,,BWSSB Dept
214,Informatica,BMTC Depot,12.98060271,77.75509679,https://maps.app.goo.gl/A1gZT1cbr1hqYyhx9,2,Mar-24,Dasarahalli Zone,,BWSSB Dept
215,Ujjivan Bank,Bhagvan Gouthama Budda Park,13.10699258,77.57327611,https://maps.app.goo.gl/7T2Kv6QrhbwdrJuj8,5,Mar-24,Yelahanka Zone,,BBMP Park
216,Ujjivan Bank,Santa Sevalal Maharaj Park,13.10687502,77.57255862,https://maps.app.goo.gl/PRfnJNv7KFNYV79Z7,2,Mar-24,Yelahanka Zone,,BBMP Park
217,Ujjivan Bank,J.P Rajaratnam Park,13.09993543,77.57071033,https://maps.app.goo.gl/adKXhTrBGhrpUVLT9,3,Mar-24,Yelahanka Zone,,BBMP Park
218,Fortrea,Coles Park,12.99472085,77.6088038,https://maps.app.goo.gl/X9MmfAwizH4i98JJA,15,Mar-24,East Zone,,BBMP Park
219,Fortrea,Bengaluru Rural SP Office,12.98959938,77.59149969,https://maps.app.goo.gl/4iTDTkPHrFfsBU2r7,15,Mar-25,East Zone,,Police Campus
220,Alstom Foundation,Maharshi Valmiki Park,13.09940896,77.57488728,https://maps.app.goo.gl/sXFVerZs2Ug4oBm79,15,Mar-24,Yelahanka Zone,,BBMP Park
221,Happiest Minds,Coles Park,12.99477312,77.60882526,https://maps.app.goo.gl/X9MmfAwizH4i98JJA,37,Mar-24,East Zone,,BBMP Park
222,Mphasis,Carmel High School,12.98857412,77.54433678,https://maps.app.goo.gl/nyCWTa3ocRp55aHs8,9,Mar-25,West Zone,,Schools and Colleges
223,Mphasis,DRDO Phase 1,12.98522602,77.66274774,https://maps.app.goo.gl/sezSZpm9gZzyAUnRA,127,Mar-25,East Zone,,Defence Campus
224,Mphasis,DRDO Phase 2,12.98663303,77.68166136,https://maps.app.goo.gl/FFFwdogMtXpVEx976,53,Mar-25,East Zone,,Defence Campus
225,Mphasis,KSRP 4th Battalion,12.92350642,77.63086943,https://maps.app.goo.gl/gMqddc8geSosFZTw5,31,Mar-25,Bommanahalli Zone,,Police Campus
